gene,essential,comment
H16_B0062,no,
H16_B0089,no,
H16_B0102,no,
H16_B0130,no,
H16_B0132,no,
H16_B0136,no,
H16_B0148,no,
H16_B0299,no,
H16_B0322,no,
H16_B0348,no,
H16_B0358,no,
H16_B0361,no,
H16_B0370,no,
H16_B0378,no,
H16_B0385,no,
H16_B0390,no,
H16_B0404,no,
H16_B0411,no,
H16_B0424,no,
H16_B0432,no,
H16_B0447,no,
H16_B0451,no,
H16_B0464,no,
H16_B0494,no,
H16_B0522,no,
H16_B0526,no,
H16_B0529,no,
H16_B0558,no,
H16_B0571,no,
H16_B0602,no,
H16_B0609,no,
H16_B0616,no,
H16_B0620,no,
H16_B0642,no,
H16_B0644,no,
H16_B0648,no,
H16_B0649,no,
H16_B0673,no,
H16_B0682,no,
H16_B0688,no,
H16_B0707,no,
H16_B0714,no,
H16_B0736,no,
H16_B0739,no,
H16_B0743,no,
H16_B0744,no,
H16_B0746,no,
H16_B0753,no,
H16_B0764,no,
H16_B0802,no,
H16_B0812,no,
H16_B0813,no,
H16_B0820,no,
H16_B0836,no,
H16_B0860,no,
H16_B0883,no,
H16_B0907,no,
H16_B0946,no,
H16_B0974,no,
H16_B0987,no,
H16_B0990,no,
H16_B1017,no,
H16_B1025,no,
H16_B1026,no,
H16_B1027,no,
H16_B1075,no,
H16_B1110,no,
H16_B1122,no,
H16_B1142,no,
H16_B1155,no,
H16_B1170,no,
H16_B1176,no,
H16_B1177,no,
H16_B1189,no,
H16_B1236,no,
H16_B1239,no,
H16_B1359,no,
H16_B1363,no,
H16_B1368,no,
H16_B1372,no,
H16_B1398,no,
H16_B1412,no,
H16_B1449,no,
H16_B1462,no,
H16_B1515,no,
H16_B1522,no,
H16_B1560,no,
H16_B1606,no,
H16_B1629,no,
H16_B1664,no,
H16_B1667,no,
H16_B1669,no,
H16_B1711,no,
H16_B1712,no,
H16_B1716,no,
H16_B1717,no,
H16_B1736,no,
H16_B1740,no,
H16_B1748,no,
H16_B1749,no,
H16_B1756,no,
H16_B1765,no,
H16_B1812,no,
H16_B1818,no,
H16_B1840,no,
H16_B1863,no,
H16_B1865,no,
H16_B1879,no,
H16_B1904,no,
H16_B1917,no,
H16_B1948,no,
H16_B1953,no,
H16_B2003,no,
H16_B2058,no,
H16_B2059,no,
H16_B2060,no,
H16_B2061,no,
H16_B2062,no,
H16_B2114,no,
H16_B2159,no,
H16_B2160,no,
H16_B2161,no,
H16_B2164,no,
H16_B2206,no,
H16_B2210,no,
H16_B2222,no,
H16_B2228,no,
H16_B2271,no,
H16_B2307,no,
H16_B2317,no,
H16_B2376,no,
H16_B2440,no,
H16_B2471,no,
H16_B2480,no,
H16_B2482,no,
H16_B2493,no,
H16_B2496,no,
H16_B2498,no,
H16_B2510,yes,
H16_B2514,no,
H16_B2532,no,
PHG001,no,
PHG002,no,
PHG003,no,
PHG074,no,
PHG088,no,
PHG089,no,
PHG090,no,
PHG091,no,
PHG120,no,
PHG121,no,
PHG178,no,
PHG211,no,
PHG212,no,
PHG213,no,
PHG229,no,
PHG232,no,
PHG240,no,
PHG244,no,
PHG261,no,
PHG270,no,
PHG271,no,
PHG273,no,
PHG279,no,
PHG384,no,
PHG385,no,
PHG394,no,
PHG398,no,
PHG399,no,
PHG404,no,
PHG405,no,
